filename,brightness,contrast
01566-4149142427.png,120.69,57.73
01607-4149142468.png,120.43,69.67
01601-4149142462.png,109.45,66.83
01720-4149142581.png,109.45,46.59
01544-4149142405.png,120.01,63.06
01717-4149142578.png,109.66,65.88
01671-4149142532.png,114.42,70.52
01697-4149142558.png,122.18,74.81
01715-4149142576.png,105.31,64.82
01634-4149142495.png,123.77,63.4
01623-4149142484.png,106.76,61.74
01561-4149142422.png,115.01,57.91
01727-4149142588.png,128.7,60.4
01642-4149142503.png,136.59,62.21
01681-4149142542.png,119.26,60.78
01515-4149142376.png,96.16,71.69
01637-4149142498.png,137.94,73.34
01597-4149142458.png,109.22,53.42
01692-4149142553.png,150.58,54.75
01669-4149142530.png,94.74,58.06
01522-4149142383.png,124.36,58.57
01521-4149142382.png,128.5,81.66
01589-4149142450.png,120.65,58.73
01563-4149142424.png,154.1,75.73
01664-4149142525.png,118.0,79.77
01528-4149142389.png,124.91,54.01
01576-4149142437.png,119.75,61.26
01590-4149142451.png,118.4,62.65
01678-4149142539.png,127.47,54.72
01536-4149142397.png,140.71,58.27
01618-4149142479.png,144.78,64.16
01596-4149142457.png,119.06,73.85
01718-4149142579.png,115.66,60.92
01695-4149142556.png,125.16,59.76
01593-4149142454.png,132.66,52.58
01722-4149142583.png,123.89,54.75
01640-4149142501.png,115.77,56.83
01582-4149142443.png,114.0,65.85
01549-4149142410.png,117.57,63.08
01644-4149142505.png,126.13,70.64
01706-4149142567.png,129.63,58.05
01571-4149142432.png,132.53,62.5
01611-4149142472.png,115.97,71.03
01649-4149142510.png,119.79,73.41
01620-4149142481.png,130.01,62.69
01523-4149142384.png,115.77,49.61
01613-4149142474.png,141.16,48.73
01625-4149142486.png,132.13,76.92
01708-4149142569.png,97.23,72.79
01514-4149142375.png,118.38,50.52
01710-4149142571.png,118.33,66.52
01557-4149142418.png,119.28,66.29
01616-4149142477.png,125.49,67.71
01719-4149142580.png,143.79,69.77
01725-4149142586.png,124.55,52.45
01704-4149142565.png,121.87,61.36
01583-4149142444.png,128.05,53.7
01516-4149142377.png,103.85,64.3
01602-4149142463.png,112.34,65.33
01653-4149142514.png,116.46,59.91
01643-4149142504.png,136.81,58.34
01666-4149142527.png,96.44,64.65
01662-4149142523.png,95.38,61.09
01568-4149142429.png,137.87,66.22
01689-4149142550.png,107.34,63.14
01572-4149142433.png,116.54,67.86
01694-4149142555.png,128.6,57.02
01531-4149142392.png,143.59,77.45
01579-4149142440.png,121.73,58.77
01546-4149142407.png,146.28,53.12
01584-4149142445.png,122.04,52.28
01587-4149142448.png,122.34,50.34
01686-4149142547.png,114.19,58.62
01550-4149142411.png,120.47,60.89
01612-4149142473.png,110.01,75.53
01562-4149142423.png,118.45,62.09
01647-4149142508.png,106.16,69.13
01585-4149142446.png,146.56,66.65
01709-4149142570.png,105.28,64.31
01554-4149142415.png,140.09,51.14
01679-4149142540.png,86.28,58.84
01652-4149142513.png,129.28,65.38
01646-4149142507.png,138.32,54.64
01518-4149142379.png,118.24,51.78
01690-4149142551.png,103.01,77.27
01591-4149142452.png,146.69,55.1
01660-4149142521.png,102.42,49.09
01595-4149142456.png,120.97,51.84
01574-4149142435.png,108.95,70.7
01621-4149142482.png,135.96,64.56
01600-4149142461.png,119.21,53.93
01520-4149142381.png,116.01,68.49
01672-4149142533.png,108.63,64.58
01721-4149142582.png,143.45,58.23
01552-4149142413.png,111.87,59.66
01638-4149142499.png,114.75,81.66
01624-4149142485.png,109.52,71.82
01512-4149142373.png,113.45,53.94
01547-4149142408.png,100.84,59.23
01513-4149142374.png,130.16,45.51
01617-4149142478.png,111.52,60.05
01605-4149142466.png,124.12,53.4
01677-4149142538.png,115.89,52.38
01529-4149142390.png,100.21,54.09
01615-4149142476.png,109.23,59.55
01713-4149142574.png,91.4,61.91
01619-4149142480.png,107.71,70.8
01674-4149142535.png,119.86,60.59
01540-4149142401.png,114.41,86.79
01555-4149142416.png,134.09,66.49
01525-4149142386.png,138.34,78.42
01688-4149142549.png,119.32,58.62
01535-4149142396.png,113.22,57.19
01628-4149142489.png,128.42,53.99
01545-4149142406.png,114.75,61.8
01716-4149142577.png,120.07,73.76
01548-4149142409.png,137.46,55.7
01657-4149142518.png,99.45,60.58
01667-4149142528.png,115.5,66.12
01586-4149142447.png,107.73,66.83
01524-4149142385.png,137.96,51.53
01537-4149142398.png,123.3,68.74
01685-4149142546.png,117.48,69.94
01663-4149142524.png,110.42,63.59
01532-4149142393.png,118.24,56.58
01680-4149142541.png,123.92,44.27
01526-4149142387.png,107.33,67.14
01598-4149142459.png,106.22,63.66
01675-4149142536.png,115.01,71.81
01659-4149142520.png,110.61,61.75
01726-4149142587.png,117.3,60.1
01580-4149142441.png,140.54,62.9
01573-4149142434.png,119.4,62.96
01711-4149142572.png,119.98,49.26
01538-4149142399.png,120.62,59.62
01569-4149142430.png,110.48,56.02
01630-4149142491.png,106.5,62.76
01627-4149142488.png,116.3,66.67
01682-4149142543.png,117.89,59.3
01648-4149142509.png,115.82,70.21
01691-4149142552.png,137.08,60.94
01577-4149142438.png,111.55,63.41
01570-4149142431.png,116.84,58.13
01650-4149142511.png,132.32,56.66
01564-4149142425.png,135.6,68.32
01629-4149142490.png,106.87,64.92
01581-4149142442.png,122.81,61.36
01661-4149142522.png,131.73,56.77
01543-4149142404.png,106.46,76.47
01534-4149142395.png,122.5,82.88
01626-4149142487.png,110.28,72.46
01608-4149142469.png,109.38,64.16
01673-4149142534.png,114.46,57.54
01633-4149142494.png,114.01,65.38
01631-4149142492.png,124.03,58.16
01651-4149142512.png,115.7,70.7
01606-4149142467.png,114.65,64.84
01539-4149142400.png,138.6,100.93
01565-4149142426.png,108.77,58.73
01610-4149142471.png,104.95,74.33
01676-4149142537.png,118.6,58.32
01714-4149142575.png,142.59,57.75
01655-4149142516.png,106.02,74.94
01592-4149142453.png,128.58,63.07
01654-4149142515.png,131.5,65.95
01670-4149142531.png,100.98,62.82
01632-4149142493.png,115.5,68.51
01541-4149142402.png,130.22,61.37
01700-4149142561.png,112.72,74.12
01705-4149142566.png,112.52,49.7
01699-4149142560.png,122.32,65.19
01567-4149142428.png,115.97,50.79
01560-4149142421.png,130.91,66.63
01614-4149142475.png,116.69,64.35
01609-4149142470.png,119.87,64.86
01599-4149142460.png,112.59,57.0
01683-4149142544.png,124.17,67.32
01639-4149142500.png,121.64,57.32
01594-4149142455.png,130.55,55.74
01684-4149142545.png,98.95,66.49
01698-4149142559.png,102.49,62.1
01693-4149142554.png,147.48,59.47
01517-4149142378.png,106.25,67.89
01696-4149142557.png,115.66,64.28
01707-4149142568.png,120.35,60.48
01553-4149142414.png,119.62,59.26
01702-4149142563.png,121.93,53.99
01575-4149142436.png,115.22,68.82
01588-4149142449.png,118.83,61.5
01687-4149142548.png,114.04,64.51
01668-4149142529.png,118.83,61.87
01542-4149142403.png,119.1,65.15
01665-4149142526.png,121.56,54.59
01622-4149142483.png,97.22,82.95
01556-4149142417.png,120.63,85.28
01724-4149142585.png,102.53,72.45
01641-4149142502.png,117.21,59.0
01645-4149142506.png,129.99,66.22
01578-4149142439.png,117.33,57.77
01530-4149142391.png,139.4,68.59
01519-4149142380.png,114.75,53.43
01723-4149142584.png,103.2,66.64
01635-4149142496.png,113.84,68.09
01603-4149142464.png,115.34,69.4
01527-4149142388.png,118.87,77.94
01559-4149142420.png,119.51,65.9
01558-4149142419.png,107.71,62.22
01703-4149142564.png,121.75,80.7
01701-4149142562.png,113.0,73.5
01636-4149142497.png,124.95,64.15
01658-4149142519.png,133.45,62.49
01604-4149142465.png,111.06,68.75
01533-4149142394.png,113.59,65.17
01656-4149142517.png,117.43,81.11
01712-4149142573.png,112.75,67.78
01551-4149142412.png,106.22,74.27
